"","NAME","CLASS","SAMPLE","IS","chemsc","C","db","MASS","ERROR","ISpmol"
"DiHexCer(d18:1/16:0)","DiHexCer(d18:1/16:0)","LACC",1,0,"H88 C46 O13 N1","16",0,"862.6228","-2.58 ppm",55.2
"DiHexCer(d18:1/18:2)","DiHexCer(d18:1/18:2)","LACC",1,0,"H88 C48 O13 N1","18",2,"886.6238","-1.42 ppm",55.2
"DiHexCer(d18:1/18:1)","DiHexCer(d18:1/18:1)","LACC",1,0,"H90 C48 O13 N1","18",1,"888.6392","-1.67 ppm",55.2
"DiHexCer(d18:1/18:0)","DiHexCer(d18:1/18:0)","LACC",1,0,"H92 C48 O13 N1","18",0,"890.6539","-2.72 ppm",55.2
"DiHexCer(d18:1/20:2)","DiHexCer(d18:1/20:2)","LACC",1,0,"H92 C50 O13 N1","20",2,"914.6586","2.47 ppm",55.2
"DiHexCer(d18:1/20:1)","DiHexCer(d18:1/20:1)","LACC",1,0,"H94 C50 O13 N1","20",1,"916.669","-3.21 ppm",55.2
"DiHexCer(d18:1/20:0)","DiHexCer(d18:1/20:0)","LACC",1,0,"H96 C50 O13 N1","20",0,"918.686","-1.73 ppm",55.2
"DiHexCer(d18:1/22:2)","DiHexCer(d18:1/22:2)","LACC",1,0,"H96 C52 O13 N1","22",2,"942.688","0.45 ppm",55.2
"DiHexCer(d18:1/22:1)","DiHexCer(d18:1/22:1)","LACC",1,0,"H98 C52 O13 N1","22",1,"944.7004","-3.05 ppm",55.2
"DiHexCer(d18:1/22:0)","DiHexCer(d18:1/22:0)","LACC",1,0,"H100 C52 O13 N1","22",0,"946.7185","-0.45 ppm",55.2
"DiHexCer(d18:1/24:2)","DiHexCer(d18:1/24:2)","LACC",1,0,"H100 C54 O13 N1","24",2,"970.7131","-5.95 ppm",55.2
"DiHexCer(d18:1/24:1)","DiHexCer(d18:1/24:1)","LACC",1,0,"H102 C54 O13 N1","24",1,"972.7348","0.26 ppm",55.2
"DiHexCer(d18:1/24:0)","DiHexCer(d18:1/24:0)","LACC",1,0,"H104 C54 O13 N1","24",0,"974.7499","-0.29 ppm",55.2
"DiHexCer(d18:1/28:2)","DiHexCer(d18:1/28:2)","LACC",1,0,"H108 C58 O13 N1","28",2,"1026.7852","3.56 ppm",55.2
"DiHexCer(d18:1/28:0)","DiHexCer(d18:1/28:0)","LACC",1,0,"H112 C58 O13 N1","28",0,"1030.8088","-3.92 ppm",55.2
"DiHexCer(d18:1/30:2)","DiHexCer(d18:1/30:2)","LACC",1,0,"H112 C60 O13 N1","30",2,"1054.8132","0.32 ppm",55.2
"DiHexCer(d18:1/30:0)","DiHexCer(d18:1/30:0)","LACC",1,0,"H116 C60 O13 N1","30",0,"1058.8437","-0.37 ppm",55.2
"HexCer(d18:1/16:0)","HexCer(d18:1/16:0)","HEXC",1,0,"H78 C40 O8 N1","16",0,"700.5727","0.69 ppm",55.2
"HexCer(d18:1/18:1)","HexCer(d18:1/18:1)","HEXC",1,0,"H80 C42 O8 N1","18",1,"726.5846","-4.42 ppm",55.2
"HexCer(d18:1/18:0)","HexCer(d18:1/18:0)","HEXC",1,0,"H82 C42 O8 N1","18",0,"728.6036","0.11 ppm",55.2
"HexCer(d18:1/20:2)","HexCer(d18:1/20:2)","HEXC",1,0,"H82 C44 O8 N1","20",2,"752.6025","-1.31 ppm",55.2
"HexCer(d18:1/20:1)","HexCer(d18:1/20:1)","HEXC",1,0,"H84 C44 O8 N1","20",1,"754.6192","0.08 ppm",55.2
"HexCer(d18:1/20:0)","HexCer(d18:1/20:0)","HEXC",1,0,"H86 C44 O8 N1","20",0,"756.6357","1.26 ppm",55.2
"HexCer(d18:1/22:2)","HexCer(d18:1/22:2)","HEXC",1,0,"H86 C46 O8 N1","22",2,"780.6319","-3.74 ppm",55.2
"HexCer(d18:1/22:1)","HexCer(d18:1/22:1)","HEXC",1,0,"H88 C46 O8 N1","22",1,"782.6475","-3.75 ppm",55.2
"HexCer(d18:1/22:0)","HexCer(d18:1/22:0)","HEXC",1,0,"H90 C46 O8 N1","22",0,"784.6641","-2.58 ppm",55.2
"HexCer(d18:1/24:2)","HexCer(d18:1/24:2)","HEXC",1,0,"H90 C48 O8 N1","24",2,"808.6655","-0.71 ppm",55.2
"HexCer(d18:1/24:1)","HexCer(d18:1/24:1)","HEXC",1,0,"H92 C48 O8 N1","24",1,"810.6803","-1.78 ppm",55.2
"HexCer(d18:1/24:0)","HexCer(d18:1/24:0)","HEXC",1,0,"H94 C48 O8 N1","24",0,"812.6971","-0.38 ppm",55.2
"LPA(17:0)","LPA(17:0)","LPHAC",1,0,"H45 C20 N1 O7 P1","17",0,"442.2924","-0.87 ppm",39.8
"LPC(16:2)","LPC(16:2)","LPCH",1,0,"H47 C24 N1 O7 P1","16",2,"492.308","-0.89 ppm",35
"LPC(16:1)","LPC(16:1)","LPCH",1,0,"H49 C24 N1 O7 P1","16",1,"494.3235","-1.25 ppm",35
"LPC(16:0)","LPC(16:0)","LPCH",1,0,"H51 C24 N1 O7 P1","16",0,"496.3391","-1.39 ppm",35
"LPC(18:3)","LPC(18:3)","LPCH",1,0,"H49 C26 N1 O7 P1","18",3,"518.3218","-4.47 ppm",35
"LPC(18:2)","LPC(18:2)","LPCH",1,0,"H51 C26 N1 O7 P1","18",2,"520.3395","-0.43 ppm",35
"LPC(18:1)","LPC(18:1)","LPCH",1,0,"H53 C26 N1 O7 P1","18",1,"522.3552","-0.38 ppm",35
"LPC(18:0)","LPC(18:0)","LPCH",1,0,"H55 C26 N1 O7 P1","18",0,"524.371","-0.20 ppm",35
"LPC(20:5)","LPC(20:5)","LPCH",1,0,"H49 C28 N1 O7 P1","20",5,"542.3218","-4.20 ppm",35
"LPC(20:4)","LPC(20:4)","LPCH",1,0,"H51 C28 N1 O7 P1","20",4,"544.339","-1.39 ppm",35
"LPC(20:3)","LPC(20:3)","LPCH",1,0,"H53 C28 N1 O7 P1","20",3,"546.3518","-6.65 ppm",35
"LPC(20:2)","LPC(20:2)","LPCH",1,0,"H55 C28 N1 O7 P1","20",2,"548.3705","-1.07 ppm",35
"LPC(20:1)","LPC(20:1)","LPCH",1,0,"H57 C28 N1 O7 P1","20",1,"550.3861","-1.20 ppm",35
"LPC(20:0)","LPC(20:0)","LPCH",1,0,"H59 C28 N1 O7 P1","20",0,"552.3998","-4.70 ppm",35
"LPC(22:6)","LPC(22:6)","LPCH",1,0,"H51 C30 N1 O7 P1","22",6,"568.3395","-0.45 ppm",35
"LPC(22:4)","LPC(22:4)","LPCH",1,0,"H55 C30 N1 O7 P1","22",4,"572.3707","-0.60 ppm",35
"LPC(22:1)","LPC(22:1)","LPCH",1,0,"H61 C30 N1 O7 P1","22",1,"578.4166","-2.39 ppm",35
"LPC-O(16:1)","LPC-O(16:1)","LPCH",1,0,"H49 C24 N1 O6 P1","16",1,"478.3286","-1.29 ppm",35
"LPC-O(18:3)","LPC-O(18:3)","LPCH",1,0,"H49 C26 N1 O6 P1","18",3,"502.3264","-5.48 ppm",35
"LPC-O(18:2)","LPC-O(18:2)","LPCH",1,0,"H51 C26 N1 O6 P1","18",2,"504.3443","-1.05 ppm",35
"LPC-O(18:1)","LPC-O(18:1)","LPCH",1,0,"H53 C26 N1 O6 P1","18",1,"506.3583","-4.39 ppm",35
"LPC-O(18:0)","LPC-O(18:0)","LPCH",1,0,"H55 C26 N1 O6 P1","18",0,"508.3765","0.73 ppm",35
"LPC-O(20:5)","LPC-O(20:5)","LPCH",1,0,"H49 C28 N1 O6 P1","20",5,"526.3271","-3.99 ppm",35
"LPC-O(20:1)","LPC-O(20:1)","LPCH",1,0,"H57 C28 N1 O6 P1","20",1,"534.39","-3.35 ppm",35
"LPC-O(22:1)","LPC-O(22:1)","LPCH",1,0,"H61 C30 N1 O6 P1","22",1,"562.4216","-2.71 ppm",35
"LPC-O(24:2)","LPC-O(24:2)","LPCH",1,0,"H63 C32 N1 O6 P1","24",2,"588.4386","-0.26 ppm",35
"LPC-O(24:1)","LPC-O(24:1)","LPCH",1,0,"H65 C32 N1 O6 P1","24",1,"590.4553","1.57 ppm",35
"LPE(16:0)","LPE(16:0)","LPET",1,0,"H45 C21 N1 O7 P1","16",0,"454.2923","-1.15 ppm",38.2
"LPE(18:2)","LPE(18:2)","LPET",1,0,"H45 C23 N1 O7 P1","18",2,"478.2923","-1.09 ppm",38.2
"LPE(18:1)","LPE(18:1)","LPET",1,0,"H47 C23 N1 O7 P1","18",1,"480.3079","-1.18 ppm",38.2
"LPE(18:0)","LPE(18:0)","LPET",1,0,"H49 C23 N1 O7 P1","18",0,"482.3236","-1.00 ppm",38.2
"LPE(20:5)","LPE(20:5)","LPET",1,0,"H43 C25 N1 O7 P1","20",5,"500.2747","-4.91 ppm",38.2
"LPE(20:4)","LPE(20:4)","LPET",1,0,"H45 C25 N1 O7 P1","20",4,"502.2926","-0.44 ppm",38.2
"LPE(20:1)","LPE(20:1)","LPET",1,0,"H51 C25 N1 O7 P1","20",1,"508.3376","-4.20 ppm",38.2
"LPE(22:7)","LPE(22:7)","LPET",1,0,"H43 C27 N1 O7 P1","22",7,"524.2746","-4.97 ppm",38.2
"LPE(22:6)","LPE(22:6)","LPET",1,0,"H45 C27 N1 O7 P1","22",6,"526.2903","-4.84 ppm",38.2
"LPE(22:4)","LPE(22:4)","LPET",1,0,"H49 C27 N1 O7 P1","22",4,"530.3212","-5.46 ppm",38.2
"MAG(12:0)","MAG(12:0)","MACG",1,0,"H34 C15 O4 N1","12",0,"292.2483","0.18 ppm",104
"MAG(14:2)","MAG(14:2)","MACG",1,0,"H34 C17 O4 N1","14",2,"316.2483","0.17 ppm",104
"MAG(14:1)","MAG(14:1)","MACG",1,0,"H36 C17 O4 N1","14",1,"318.2639","0.20 ppm",104
"MAG(14:0)","MAG(14:0)","MACG",1,0,"H38 C17 O4 N1","14",0,"320.2796","0.19 ppm",104
"MAG(16:2)","MAG(16:2)","MACG",1,0,"H38 C19 O4 N1","16",2,"344.2793","-0.70 ppm",104
"MAG(16:1)","MAG(16:1)","MACG",1,0,"H40 C19 O4 N1","16",1,"346.295","-0.55 ppm",104
"MAG(16:0)","MAG(16:0)","MACG",1,0,"H42 C19 O4 N1","16",0,"348.3107","-0.51 ppm",104
"MAG(18:2)","MAG(18:2)","MACG",1,0,"H42 C21 O4 N1","18",2,"372.3107","-0.39 ppm",104
"MAG(18:1)","MAG(18:1)","MACG",1,0,"H44 C21 O4 N1","18",1,"374.3263","-0.40 ppm",104
"MAG(18:0)","MAG(18:0)","MACG",1,0,"H46 C21 O4 N1","18",0,"376.342","-0.38 ppm",104
"PA(34:2)","PA(34:2)","PHAC",1,0,"H73 C37 N1 O8 P1","34",2,"690.5065","-0.50 ppm",56.2
"PA(34:1)","PA(34:1)","PHAC",1,0,"H75 C37 N1 O8 P1","34",1,"692.522","-0.75 ppm",56.2
"PA(36:2)","PA(36:2)","PHAC",1,0,"H77 C39 N1 O8 P1","36",2,"718.5386","0.62 ppm",56.2
"PA(36:1)","PA(36:1)","PHAC",1,0,"H79 C39 N1 O8 P1","36",1,"720.5541","0.42 ppm",56.2
"PC(30:1)","PC(30:1)","PCHO",1,0,"H75 C38 N1 O8 P1","30",1,"704.5232","1.04 ppm",396.2
"PC(30:0)","PC(30:0)","PCHO",1,0,"H77 C38 N1 O8 P1","30",0,"706.5388","0.91 ppm",396.2
"PC(32:3)","PC(32:3)","PCHO",1,0,"H75 C40 N1 O8 P1","32",3,"728.5231","0.83 ppm",396.2
"PC(32:2)","PC(32:2)","PCHO",1,0,"H77 C40 N1 O8 P1","32",2,"730.5384","0.42 ppm",396.2
"PC(32:1)","PC(32:1)","PCHO",1,0,"H79 C40 N1 O8 P1","32",1,"732.5541","0.42 ppm",396.2
"PC(32:0)","PC(32:0)","PCHO",1,0,"H81 C40 N1 O8 P1","32",0,"734.5697","0.32 ppm",396.2
"PC(34:4)","PC(34:4)","PCHO",1,0,"H77 C42 N1 O8 P1","34",4,"754.5387","0.80 ppm",396.2
"PC(34:3)","PC(34:3)","PCHO",1,0,"H79 C42 N1 O8 P1","34",3,"756.5546","1.05 ppm",396.2
"PC(34:2)","PC(34:2)","PCHO",1,0,"H81 C42 N1 O8 P1","34",2,"758.5699","0.57 ppm",396.2
"PC(34:1)","PC(34:1)","PCHO",1,0,"H83 C42 N1 O8 P1","34",1,"760.5841","-1.31 ppm",396.2
"PC(36:7)","PC(36:7)","PCHO",1,0,"H75 C44 N1 O8 P1","36",7,"776.5204","-2.68 ppm",396.2
"PC(36:6)","PC(36:6)","PCHO",1,0,"H77 C44 N1 O8 P1","36",6,"778.5377","-0.55 ppm",396.2
"PC(36:5)","PC(36:5)","PCHO",1,0,"H79 C44 N1 O8 P1","36",5,"780.5487","-6.46 ppm",396.2
"PC(36:4)","PC(36:4)","PCHO",1,0,"H81 C44 N1 O8 P1","36",4,"782.5689","-0.65 ppm",396.2
"PC(36:3)","PC(36:3)","PCHO",1,0,"H83 C44 N1 O8 P1","36",3,"784.5816","-4.37 ppm",396.2
"PC(36:2)","PC(36:2)","PCHO",1,0,"H85 C44 N1 O8 P1","36",2,"786.5986","-2.77 ppm",396.2
"PC(36:1)","PC(36:1)","PCHO",1,0,"H87 C44 N1 O8 P1","36",1,"788.6134","-3.77 ppm",396.2
"PC(38:7)","PC(38:7)","PCHO",1,0,"H79 C46 N1 O8 P1","38",7,"804.5542","0.58 ppm",396.2
"PC(38:6)","PC(38:6)","PCHO",1,0,"H81 C46 N1 O8 P1","38",6,"806.5701","0.85 ppm",396.2
"PC(38:5)","PC(38:5)","PCHO",1,0,"H83 C46 N1 O8 P1","38",5,"808.5827","-2.96 ppm",396.2
"PC(38:4)","PC(38:4)","PCHO",1,0,"H85 C46 N1 O8 P1","38",4,"810.6003","-0.55 ppm",396.2
"PC(38:2)","PC(38:2)","PCHO",1,0,"H89 C46 N1 O8 P1","38",2,"814.6318","-0.27 ppm",396.2
"PC(38:1)","PC(38:1)","PCHO",1,0,"H91 C46 N1 O8 P1","38",1,"816.6476","-0.04 ppm",396.2
"PC(40:7)","PC(40:7)","PCHO",1,0,"H83 C48 N1 O8 P1","40",7,"832.585","-0.10 ppm",396.2
"PC(40:6)","PC(40:6)","PCHO",1,0,"H85 C48 N1 O8 P1","40",6,"834.6006","-0.11 ppm",396.2
"PC(40:4)","PC(40:4)","PCHO",1,0,"H89 C48 N1 O8 P1","40",4,"838.6325","0.60 ppm",396.2
"PC(40:3)","PC(40:3)","PCHO",1,0,"H91 C48 N1 O8 P1","40",3,"840.6427","-5.98 ppm",396.2
"PC(40:2)","PC(40:2)","PCHO",1,0,"H93 C48 N1 O8 P1","40",2,"842.6635","0.20 ppm",396.2
"PC(40:1)","PC(40:1)","PCHO",1,0,"H95 C48 N1 O8 P1","40",1,"844.6735","-6.50 ppm",396.2
"PC(42:7)","PC(42:7)","PCHO",1,0,"H87 C50 N1 O8 P1","42",7,"860.6113","-5.94 ppm",396.2
"PC(42:6)","PC(42:6)","PCHO",1,0,"H89 C50 N1 O8 P1","42",6,"862.6294","-3.09 ppm",396.2
"PC(42:5)","PC(42:5)","PCHO",1,0,"H91 C50 N1 O8 P1","42",5,"864.6457","-2.28 ppm",396.2
"PC(42:4)","PC(42:4)","PCHO",1,0,"H93 C50 N1 O8 P1","42",4,"866.6624","-1.09 ppm",396.2
"PC(42:3)","PC(42:3)","PCHO",1,0,"H95 C50 N1 O8 P1","42",3,"868.6746","-5.02 ppm",396.2
"PC-O(34:2)","PC-O(34:2)","PC-O",1,0,"H81 C42 N1 O7 P1","34",2,"742.5739","-0.83 ppm",396.2
"PC-O(34:1)","PC-O(34:1)","PC-O",1,0,"H83 C42 N1 O7 P1","34",1,"744.5921","2.55 ppm",396.2
"PC-O(34:0)","PC-O(34:0)","PC-O",1,0,"H85 C42 N1 O7 P1","34",0,"746.6061","0.40 ppm",396.2
"PC-O(36:3)","PC-O(36:3)","PC-O",1,0,"H83 C44 N1 O7 P1","36",3,"768.5874","-3.60 ppm",396.2
"PC-O(36:2)","PC-O(36:2)","PC-O",1,0,"H85 C44 N1 O7 P1","36",2,"770.606","0.26 ppm",396.2
"PC-O(36:1)","PC-O(36:1)","PC-O",1,0,"H87 C44 N1 O7 P1","36",1,"772.6205","-1.31 ppm",396.2
"PC-O(38:4)","PC-O(38:4)","PC-O",1,0,"H85 C46 N1 O7 P1","38",4,"794.6034","-2.98 ppm",396.2
"PC-O(38:3)","PC-O(38:3)","PC-O",1,0,"H87 C46 N1 O7 P1","38",3,"796.6197","-2.20 ppm",396.2
"PC-O(38:2)","PC-O(38:2)","PC-O",1,0,"H89 C46 N1 O7 P1","38",2,"798.6351","-2.51 ppm",396.2
"PC-O(40:5)","PC-O(40:5)","PC-O",1,0,"H87 C48 N1 O7 P1","40",5,"820.6166","-5.87 ppm",396.2
"PC-O(40:4)","PC-O(40:4)","PC-O",1,0,"H89 C48 N1 O7 P1","40",4,"822.6374","0.37 ppm",396.2
"PC-O(40:3)","PC-O(40:3)","PC-O",1,0,"H91 C48 N1 O7 P1","40",3,"824.652","-0.96 ppm",396.2
"PC-O(40:2)","PC-O(40:2)","PC-O",1,0,"H93 C48 N1 O7 P1","40",2,"826.6653","-3.76 ppm",396.2
"PC-O(40:1)","PC-O(40:1)","PC-O",1,0,"H95 C48 N1 O7 P1","40",1,"828.6819","-2.67 ppm",396.2
"PC-O(42:4)","PC-O(42:4)","PC-O",1,0,"H93 C50 N1 O7 P1","42",4,"850.667","-1.68 ppm",396.2
"PE(34:4)","PE(34:4)","PETA",1,0,"H71 C39 N1 O8 P1","34",4,"712.4915","0.48 ppm",210.4
"PE(34:3)","PE(34:3)","PETA",1,0,"H73 C39 N1 O8 P1","34",3,"714.5074","0.81 ppm",210.4
"PE(34:2)","PE(34:2)","PETA",1,0,"H75 C39 N1 O8 P1","34",2,"716.5231","0.88 ppm",210.4
"PE(34:1)","PE(34:1)","PETA",1,0,"H77 C39 N1 O8 P1","34",1,"718.5386","0.62 ppm",210.4
"PE(36:6)","PE(36:6)","PETA",1,0,"H71 C41 N1 O8 P1","36",6,"736.4883","-3.84 ppm",210.4
"PE(36:5)","PE(36:5)","PETA",1,0,"H73 C41 N1 O8 P1","36",5,"738.5071","0.37 ppm",210.4
"PE(36:4)","PE(36:4)","PETA",1,0,"H75 C41 N1 O8 P1","36",4,"740.5229","0.50 ppm",210.4
"PE(36:3)","PE(36:3)","PETA",1,0,"H77 C41 N1 O8 P1","36",3,"742.5385","0.51 ppm",210.4
"PE(36:2)","PE(36:2)","PETA",1,0,"H79 C41 N1 O8 P1","36",2,"744.5543","0.74 ppm",210.4
"PE(36:1)","PE(36:1)","PETA",1,0,"H81 C41 N1 O8 P1","36",1,"746.57","0.76 ppm",210.4
"PE(38:7)","PE(38:7)","PETA",1,0,"H73 C43 N1 O8 P1","38",7,"762.5062","-0.78 ppm",210.4
"PE(38:6)","PE(38:6)","PETA",1,0,"H75 C43 N1 O8 P1","38",6,"764.5228","0.39 ppm",210.4
"PE(38:5)","PE(38:5)","PETA",1,0,"H77 C43 N1 O8 P1","38",5,"766.5331","-6.51 ppm",210.4
"PE(38:4)","PE(38:4)","PETA",1,0,"H79 C43 N1 O8 P1","38",4,"768.5535","-0.42 ppm",210.4
"PE(38:2)","PE(38:2)","PETA",1,0,"H83 C43 N1 O8 P1","38",2,"772.5846","-0.63 ppm",210.4
"PE(38:1)","PE(38:1)","PETA",1,0,"H85 C43 N1 O8 P1","38",1,"774.6004","-0.42 ppm",210.4
"PE(40:7)","PE(40:7)","PETA",1,0,"H77 C45 N1 O8 P1","40",7,"790.5363","-2.34 ppm",210.4
"PE(40:6)","PE(40:6)","PETA",1,0,"H79 C45 N1 O8 P1","40",6,"792.5523","-1.90 ppm",210.4
"PE(40:5)","PE(40:5)","PETA",1,0,"H81 C45 N1 O8 P1","40",5,"794.5675","-2.45 ppm",210.4
"PE(40:4)","PE(40:4)","PETA",1,0,"H83 C45 N1 O8 P1","40",4,"796.5831","-2.49 ppm",210.4
"PE(40:3)","PE(40:3)","PETA",1,0,"H85 C45 N1 O8 P1","40",3,"798.5992","-1.93 ppm",210.4
